,A2
0.0,556
0.001,555
0.002,557
0.003,557
0.004,560
0.005,561
0.006,561
0.007,566
0.008,564
0.009,563
0.01,563
0.011,567
0.012,565
0.013,566
0.014,558
0.015,553
0.016,550
0.017,550
0.018,552
0.019,550
0.02,557
0.021,569
0.022,574
0.023,574
0.024,567
0.025,556
0.026,543
0.027,534
0.028,535
0.029,543
0.03,543
0.031,537
0.032,533
0.033,522
0.034,525
0.035,529
0.036,523
0.037,515
0.038,512
0.039,509
0.04,500
0.041,499
0.042,504
0.043,503
0.044,509
0.045,512
0.046,506
0.047,507
0.048,506
0.049,504
0.05,505
0.051,507
0.052,509
0.053,504
0.054,499
0.055,495
0.056,492
0.057,492
0.058,487
0.059,485
0.06,480
0.061,480
0.062,481
0.063,484
0.064,483
0.065,479
0.066,481
0.067,484
0.068,485
0.069,488
0.07,491
0.071,484
0.072,472
0.073,466
0.074,466
0.075,468
0.076,464
0.077,467
0.078,476
0.079,483
0.08,485
0.081,479
0.082,472
0.083,470
0.084,464
0.085,462
0.086,458
0.087,460
0.088,464
0.089,474
0.09,476
0.091,472
0.092,470
0.093,468
0.094,463
0.095,459
0.096,465
0.097,469
0.098,478
0.099,482
0.1,467
0.101,466
0.102,476
0.103,486
0.104,489
0.105,493
0.106,493
0.107,489
0.108,486
0.109,488
0.11,485
0.111,488
0.112,493
0.113,498
0.114,499
0.115,497
0.116,488
0.117,481
0.118,479
0.119,477
0.12,474
0.121,477
0.122,488
0.123,491
0.124,488
0.125,485
0.126,483
0.127,480
0.128,478
0.129,476
0.13,477
0.131,483
0.132,489
0.133,489
0.134,490
0.135,491
0.136,494
0.137,496
0.138,494
0.139,493
0.14,493
0.141,492
0.142,494
0.143,493
0.144,496
0.145,500
0.146,499
0.147,496
0.148,492
0.149,495
0.15,501
0.151,499
0.152,503
0.153,508
0.154,510
0.155,507
0.156,504
0.157,508
0.158,509
0.159,505
0.16,506
0.161,509
0.162,500
0.163,490
0.164,481
0.165,481
0.166,486
0.167,494
0.168,503
0.169,503
0.17,502
0.171,502
0.172,500
0.173,499
0.174,498
0.175,504
0.176,509
0.177,511
0.178,514
0.179,515
0.18,521
0.181,521
0.182,511
0.183,514
0.184,524
0.185,520
0.186,513
0.187,511
0.188,517
0.189,520
0.19,520
0.191,521
0.192,522
0.193,526
0.194,520
0.195,513
0.196,513
0.197,511
0.198,511
0.199,513
0.2,511
0.201,512
0.202,513
0.203,522
0.204,530
0.205,533
0.206,530
0.207,524
0.208,521
0.209,527
0.21,529
0.211,527
0.212,526
0.213,522
0.214,519
0.215,520
0.216,519
0.217,524
0.218,530
0.219,532
0.22,528
0.221,522
0.222,518
0.223,518
0.224,517
0.225,516
0.226,519
0.227,519
0.228,519
0.229,517
0.23,519
0.231,519
0.232,524
0.233,526
0.234,527
0.235,527
0.236,521
0.237,525
0.238,530
0.239,527
0.24,522
0.241,516
0.242,518
0.243,523
0.244,525
0.245,531
0.246,533
0.247,529
0.248,527
0.249,521
0.25,520
0.251,526
0.252,529
0.253,531
0.254,526
0.255,522
0.256,526
0.257,534
0.258,536
0.259,540
0.26,544
0.261,543
0.262,545
0.263,542
0.264,539
0.265,540
0.266,544
0.267,543
0.268,539
0.269,533
0.27,534
0.271,535
0.272,541
0.273,548
0.274,545
0.275,542
0.276,541
0.277,537
0.278,528
0.279,526
0.28,527
0.281,534
0.282,536
0.283,533
0.284,533
0.285,540
0.286,537
0.287,531
0.288,534
0.289,533
0.29,527
0.291,523
0.292,521
0.293,524
0.294,519
0.295,516
0.296,512
0.297,510
0.298,510
0.299,510
0.3,507
0.301,502
0.302,502
0.303,501
0.304,504
0.305,511
0.306,512
0.307,507
0.308,503
0.309,494
0.31,497
0.311,505
0.312,508
0.313,503
0.314,501
0.315,499
0.316,499
0.317,502
0.318,508
0.319,505
0.32,504
0.321,500
0.322,499
0.323,504
0.324,502
0.325,505
0.326,514
0.327,516
0.328,509
0.329,503
0.33,511
0.331,524
0.332,522
0.333,515
0.334,513
0.335,514
0.336,511
0.337,513
0.338,517
0.339,513
0.34,503
0.341,501
0.342,498
0.343,497
0.344,499
0.345,497
0.346,496
0.347,502
0.348,501
0.349,506
0.35,511
0.351,501
0.352,498
0.353,497
0.354,499
0.355,504
0.356,500
0.357,502
0.358,504
0.359,503
0.36,505
0.361,507
0.362,504
0.363,499
0.364,502
0.365,503
0.366,502
0.367,500
0.368,503
0.369,505
0.37,507
0.371,505
0.372,511
0.373,512
0.374,517
0.375,522
0.376,523
0.377,526
0.378,531
0.379,543
0.38,556
0.381,567
0.382,580
0.383,593
0.384,607
0.385,624
0.386,641
0.387,655
0.388,673
0.389,684
0.39,700
0.391,718
0.392,732
0.393,738
0.394,741
0.395,755
0.396,769
0.397,788
0.398,798
0.399,794
0.4,786
0.401,775
0.402,764
0.403,752
0.404,737
0.405,716
0.406,681
0.407,638
0.408,580
0.409,527
0.41,475
0.411,425
0.412,381
0.413,339
0.414,305
0.415,283
0.416,276
0.417,271
0.418,268
0.419,261
0.42,264
0.421,270
0.422,274
0.423,273
0.424,274
0.425,278
0.426,281
0.427,287
0.428,296
0.429,303
0.43,312
0.431,323
0.432,335
0.433,348
0.434,361
0.435,375
0.436,393
0.437,404
0.438,417
0.439,431
0.44,441
0.441,448
0.442,462
0.443,476
0.444,481
0.445,485
0.446,490
0.447,497
0.448,503
0.449,508
0.45,507
0.451,504
0.452,503
0.453,502
0.454,506
0.455,511
0.456,520
0.457,522
0.458,517
0.459,507
0.46,511
0.461,513
0.462,507
0.463,502
0.464,497
0.465,496
0.466,496
0.467,498
0.468,500
0.469,504
0.47,507
0.471,504
0.472,510
0.473,516
0.474,512
0.475,508
0.476,501
0.477,504
0.478,508
0.479,519
0.48,525
0.481,524
0.482,519
0.483,518
0.484,522
0.485,524
0.486,523
0.487,524
0.488,519
0.489,507
0.49,503
0.491,513
0.492,522
0.493,524
0.494,521
0.495,515
0.496,512
0.497,505
0.498,509
0.499,520
0.5,524
0.501,524
0.502,518
0.503,515
0.504,510
0.505,510
0.506,510
0.507,507
0.508,512
0.509,514
0.51,511
0.511,504
0.512,504
0.513,508
0.514,510
0.515,512
0.516,509
0.517,510
0.518,515
0.519,518
0.52,515
0.521,513
0.522,510
0.523,511
0.524,518
0.525,518
0.526,522
0.527,526
0.528,531
0.529,533
0.53,528
0.531,525
0.532,517
0.533,512
0.534,518
0.535,524
0.536,519
0.537,512
0.538,513
0.539,522
0.54,528
0.541,531
0.542,532
0.543,529
0.544,525
0.545,522
0.546,518
0.547,518
0.548,516
0.549,511
0.55,511
0.551,516
0.552,516
0.553,511
0.554,513
0.555,521
0.556,526
0.557,528
0.558,537
0.559,535
0.56,528
0.561,524
0.562,520
0.563,529
0.564,542
0.565,543
0.566,544
0.567,549
0.568,547
0.569,542
0.57,542
0.571,543
0.572,536
0.573,530
0.574,538
0.575,540
0.576,535
0.577,529
0.578,524
0.579,521
0.58,516
0.581,515
0.582,519
0.583,521
0.584,526
0.585,531
0.586,529
0.587,534
0.588,542
0.589,547
0.59,542
0.591,546
0.592,561
0.593,562
0.594,548
0.595,543
0.596,548
0.597,548
0.598,540
0.599,531
0.6,536
0.601,536
0.602,537
0.603,532
0.604,536
0.605,541
0.606,540
0.607,546
0.608,552
0.609,558
0.61,561
0.611,558
0.612,561
0.613,566
0.614,562
0.615,557
0.616,557
0.617,560
0.618,556
0.619,552
0.62,556
0.621,560
0.622,560
0.623,555
0.624,548
0.625,550
0.626,550
0.627,544
0.628,541
0.629,540
0.63,536
0.631,538
0.632,543
0.633,552
0.634,561
0.635,560
0.636,554
0.637,551
0.638,550
0.639,541
0.64,535
0.641,530
0.642,527
0.643,523
0.644,525
0.645,527
0.646,518
0.647,505
0.648,498
0.649,494
0.65,499
0.651,498
0.652,494
0.653,496
0.654,503
0.655,507
0.656,511
0.657,511
0.658,504
0.659,492
0.66,491
0.661,487
0.662,484
0.663,483
0.664,481
0.665,480
0.666,476
0.667,475
0.668,472
0.669,470
0.67,474
0.671,471
0.672,473
0.673,477
0.674,477
0.675,467
0.676,461
0.677,455
0.678,463
0.679,472
0.68,477
0.681,475
0.682,471
0.683,467
0.684,467
0.685,466
0.686,469
0.687,468
0.688,464
0.689,461
0.69,456
0.691,459
0.692,457
0.693,452
0.694,447
0.695,446
0.696,452
0.697,452
0.698,452
0.699,452
0.7,451
0.701,449
0.702,451
0.703,452
0.704,456
0.705,462
0.706,458
0.707,456
0.708,455
0.709,456
0.71,462
0.711,470
0.712,468
0.713,463
0.714,454
0.715,454
0.716,455
0.717,462
0.718,467
0.719,471
0.72,471
0.721,476
0.722,478
0.723,469
0.724,463
0.725,461
0.726,458
0.727,454
0.728,457
0.729,455
0.73,459
0.731,460
0.732,464
0.733,465
0.734,461
0.735,461
0.736,460
0.737,467
0.738,471
0.739,464
0.74,456
0.741,448
0.742,451
0.743,456
0.744,459
0.745,459
0.746,464
0.747,467
0.748,465
0.749,473
0.75,481
0.751,483
0.752,481
0.753,481
0.754,481
0.755,479
0.756,476
0.757,468
0.758,469
0.759,473
0.76,471
0.761,467
0.762,469
0.763,472
0.764,472
0.765,467
0.766,470
0.767,472
0.768,473
0.769,478
0.77,483
0.771,483
0.772,479
0.773,481
0.774,479
0.775,478
0.776,483
0.777,488
0.778,491
0.779,491
0.78,485
0.781,484
0.782,486
0.783,485
0.784,484
0.785,484
0.786,483
0.787,484
0.788,485
0.789,481
0.79,489
0.791,494
0.792,497
0.793,491
0.794,488
0.795,492
0.796,490
