timestamp,A2
0,579
1,583
2,582
3,580
4,574
5,569
6,564
7,565
8,567
9,571
10,578
11,585
12,593
13,601
14,602
15,601
16,598
17,598
18,595
19,591
20,587
21,583
22,577
23,572
24,570
25,568
26,562
27,556
28,555
29,555
30,552
31,551
32,555
33,558
34,552
35,546
36,543
37,544
38,548
39,553
40,555
41,561
42,566
43,569
44,572
45,579
46,583
47,584
48,581
49,579
50,580
51,579
52,577
53,576
54,571
55,566
56,566
57,570
58,570
59,572
60,574
61,575
62,576
63,577
64,578
65,575
66,567
67,559
68,550
69,540
70,534
71,531
72,531
73,533
74,537
75,541
76,546
77,551
78,556
79,564
80,575
81,585
82,592
83,593
84,590
85,587
86,586
87,585
88,581
89,576
90,569
91,566
92,569
93,572
94,577
95,583
96,587
97,590
98,595
99,600
100,603
101,599
102,594
103,592
104,591
105,589
106,585
107,580
108,575
109,571
110,566
111,551
112,539
113,526
114,518
115,514
116,513
117,516
118,513
119,507
120,503
121,505
122,505
123,504
124,503
125,503
126,503
127,505
128,505
129,504
130,506
131,506
132,506
133,511
134,519
135,524
136,525
137,522
138,523
139,530
140,533
141,535
142,531
143,527
144,524
145,523
146,522
147,520
148,519
149,520
150,515
151,510
152,505
153,504
154,504
155,505
156,505
157,503
158,499
159,495
160,492
161,491
162,497
163,503
164,507
165,508
166,508
167,513
168,514
169,518
170,524
171,529
172,538
173,551
174,564
175,572
176,576
177,575
178,568
179,560
180,552
181,548
182,540
183,536
184,533
185,530
186,527
187,527
188,529
189,528
190,523
191,519
192,514
193,512
194,512
195,512
196,513
197,510
198,504
199,500
200,500
201,498
202,500
203,501
204,504
205,510
206,515
207,518
208,519
209,522
210,523
211,520
212,517
213,518
214,516
215,512
216,512
217,511
218,510
219,510
220,510
221,511
222,513
223,513
224,512
225,515
226,520
227,522
228,525
229,527
230,523
231,519
232,521
233,523
234,520
235,519
236,516
237,515
238,513
239,509
240,508
241,507
242,505
243,502
244,498
245,496
246,493
247,488
248,483
249,477
250,472
251,463
252,459
253,453
254,448
255,442
256,439
257,440
258,441
259,442
260,440
261,440
262,439
263,438
264,435
265,435
266,434
267,433
268,434
269,434
270,436
271,436
272,436
273,432
274,422
275,406
276,387
277,372
278,360
279,350
280,345
281,342
282,343
283,339
284,336
285,337
286,339
287,340
288,338
289,337
290,338
291,339
292,343
293,348
294,350
295,354
296,363
297,369
298,372
299,377
300,381
301,387
302,393
303,395
304,398
305,405
306,412
307,418
308,423
309,428
310,434
311,438
312,442
313,446
314,448
315,457
316,460
317,464
318,470
319,474
320,474
321,472
322,473
323,476
324,482
325,486
326,492
327,495
328,496
329,492
330,489
331,487
332,485
333,478
334,470
335,467
336,462
337,456
338,452
339,448
340,446
341,444
342,447
343,448
344,450
345,451
346,454
347,459
348,460
349,458
350,458
351,459
352,461
353,457
354,459
355,463
356,464
357,466
358,468
359,470
360,467
361,460
362,455
363,452
364,456
365,457
366,462
367,468
368,477
369,481
370,487
371,497
372,502
373,502
374,499
375,495
376,487
377,484
378,478
379,472
380,466
381,465
382,467
383,467
384,464
385,466
386,469
387,469
388,470
389,470
390,473
391,476
392,471
393,463
394,463
395,469
396,472
397,473
398,471
399,461
400,455
401,451
402,452
403,452
404,455
405,459
406,459
407,460
408,458
409,457
410,457
411,459
412,462
413,463
414,465
415,466
416,466
417,468
418,470
419,474
420,481
421,480
422,476
423,474
424,473
425,475
426,476
427,478
428,476
429,475
430,475
431,473
432,471
433,467
434,468
435,467
436,462
437,462
438,461
439,462
440,462
441,463
442,462
443,459
444,457
445,457
446,455
447,455
448,459
449,464
450,467
451,468
452,473
453,481
454,485
455,489
456,489
457,484
458,474
459,467
460,463
461,458
462,455
463,457
464,459
465,458
466,455
467,457
468,460
469,461
470,462
471,459
472,454
473,451
474,449
475,451
476,454
477,456
478,463
479,471
480,482
481,491
482,492
483,491
484,493
485,495
486,496
487,499
488,500
489,500
490,503
491,501
492,501
493,501
494,500
495,502
496,505
497,506
498,508
499,508
500,509
501,513
502,519
503,526
504,534
505,541
506,546
507,551
508,556
509,563
510,568
511,574
512,578
513,579
514,579
515,580
516,579
517,574
518,569
519,565
520,564
521,564
522,565
523,564
524,561
525,557
526,553
527,548
528,545
529,545
530,551
531,554
532,557
533,559
534,563
535,570
536,575
537,575
538,575
539,574
540,569
541,563
542,558
543,554
544,548
545,542
546,533
547,529
548,528
549,535
550,540
